Longitude,Latitude,Name,Location
-105.344,39.194,Molly Gulch,Sedalia
-106.325,38.516,Monarch Park,Poncha Springs
-105.047,37.207,Monument Lake Park,Stonewall
-105.6,40.358,Moraine Park,Estes Park
-108.42,37.302,Morefield - Mesa Verde National Park,Mancos
-106.71,38.86,Mosca,Almont
-106.224,38.714,Mount Princeton,Nathrop
-105.467,40.682,Mountain Park,Rustic
-108.739,38.905,Mud Springs,Glade Park
-105.164,38.89,Mueller State Park,Divide
-105.431,40.691,Narrows,Rustic
-107.418,37.004,Navajo State Park,Arboles
-106.56,38.353,Needle Creek Reservoir,Gunnison
-106.758,38.73,North Bank,Almont
-107.539,37.394,North Canyon - Vallecito Reservoir,Bayfield
-107.139,37.836,North Clear Creek,Creede
-102.185,39.638,North Cove - Bonny Lake State Park,Idalia
-105.689,38.016,North Crestone Creek,Crestone
-107.434,40.059,North Fork,Buford
-105.71,40.814,North Fork Poudre,Livermore
-106.32,38.612,North Fork Reservoir,Salidas
-108.702,39.331,North Fruita Desert,De Beque
-105.997,40.553,North Michigan - State Forest State Park,Walden
-107.709,38.586,North Rim - Gunnison National Park,Montrose
-103.265,40.796,North Sterling State Park,Sterling
-104.78,38.275,Northern Plains - Lake Pueblo State Park,Pueblo
-105.269,38.296,Oak Creek,Canon City
-107.789,39.231,Oak Point - Vega State Park,Collbran
-106.143,38.428,Ohaver Lake,Poncha Springs
-107.56,37.377,Old Timers - Vallecito Reservoir,Bayfield
-105.523,40.208,Olive Ridge,Estes Park
-106.759,38.728,One Mile,Almont
-105.107,38.061,Ophir Creek,Colorado City
-105.177,39.349,Osprey,Woodland Park
-105.188,39.32,Ouzel,Woodland Park
-105.105,39.084,Painted Rocks,Woodland Park
-106.765,37.751,Palisade - South Fork,South Fork
-106.946,38.547,Palisades Senior RV Park,Gunnison
-107.348,38.987,Paonia State Park,Crawford
